Division
Women's 11 Under Age Group 36kg
Women's 11 Under Age Group 40kg
Women's 11 Under Age Group 44kg
Women's 11 Under Age Group 48kg
Women's 11 Under Age Group 53kg
Women's 11 Under Age Group 58kg
Women's 11 Under Age Group 63kg
Women's 11 Under Age Group 63+kg
Men's 11 Under Age Group 40kg
Men's 11 Under Age Group 44kg
Men's 11 Under Age Group 48kg
Men's 11 Under Age Group 52kg
Men's 11 Under Age Group 56kg
Men's 11 Under Age Group 60kg
Men's 11 Under Age Group 65kg
Men's 11 Under Age Group 65+kg
Women's 13 Under Age Group 36kg
Women's 13 Under Age Group 40kg
Women's 13 Under Age Group 44kg
Women's 13 Under Age Group 48kg
Women's 13 Under Age Group 53kg
Women's 13 Under Age Group 58kg
Women's 13 Under Age Group 63kg
Women's 13 Under Age Group 63+kg
Men's 13 Under Age Group 40kg
Men's 13 Under Age Group 44kg
Men's 13 Under Age Group 48kg
Men's 13 Under Age Group 52kg
Men's 13 Under Age Group 56kg
Men's 13 Under Age Group 60kg
Men's 13 Under Age Group 65kg
Men's 13 Under Age Group 65+kg
Women's 14-15 Age Group 40kg
Women's 14-15 Age Group 44kg
Women's 14-15 Age Group 48kg
Women's 14-15 Age Group 53kg
Women's 14-15 Age Group 58kg
Women's 14-15 Age Group 63kg
Women's 14-15 Age Group 69kg
Women's 14-15 Age Group 69+kg
Men's 14-15 Age Group 48kg
Men's 14-15 Age Group 52kg
Men's 14-15 Age Group 56kg
Men's 14-15 Age Group 60kg
Men's 14-15 Age Group 65kg
Men's 14-15 Age Group 71kg
Men's 14-15 Age Group 79kg
Men's 14-15 Age Group 79+kg
Women's 16-17 Age Group 44kg
Women's 16-17 Age Group 48kg
Women's 16-17 Age Group 53kg
Women's 16-17 Age Group 58kg
Women's 16-17 Age Group 63kg
Women's 16-17 Age Group 69kg
Women's 16-17 Age Group 77kg
Women's 16-17 Age Group 77+kg
Men's 16-17 Age Group 56kg
Men's 16-17 Age Group 60kg
Men's 16-17 Age Group 65kg
Men's 16-17 Age Group 71kg
Men's 16-17 Age Group 79kg
Men's 16-17 Age Group 88kg
Men's 16-17 Age Group 94kg
Men's 16-17 Age Group 94+kg
Junior Women's 48kg
Junior Women's 53kg
Junior Women's 58kg
Junior Women's 63kg
Junior Women's 69kg
Junior Women's 77kg
Junior Women's 86kg
Junior Women's 86+kg
Junior Men's 60kg
Junior Men's 65kg
Junior Men's 71kg
Junior Men's 79kg
Junior Men's 88kg
Junior Men's 94kg
Junior Men's 110kg
Junior Men's 110+kg
(Inactive) Men's Masters (50-54) +109kg
(Inactive) Men's Masters (55-59) 56 kg
(Inactive) Men's Masters (55-59) 62 kg
(Inactive) Men's Masters (55-59) 69 kg
(Inactive) Men's Masters (55-59) 77 kg
(Inactive) Men's Masters (55-59) 85 kg
(Inactive) Men's Masters (55-59) 94 kg
(Inactive) Men's Masters (55-59) 105 kg
(Inactive) Men's Masters (55-59) +105 kg
(Inactive) Men's Masters (55-59) 55kg
(Inactive) Men's Masters (55-59) 61kg
(Inactive) Men's Masters (55-59) 67kg
(Inactive) Men's Masters (55-59) 73kg
(Inactive) Men's Masters (55-59) 81kg
(Inactive) Men's Masters (55-59) 89kg
(Inactive) Men's Masters (55-59) 96kg
(Inactive) Men's Masters (55-59) 102kg
(Inactive) Men's Masters (55-59) 109kg
(Inactive) Men's Masters (55-59) +109kg
(Inactive) Men's Masters (60-64) 56 kg
(Inactive) Men's Masters (60-64) 62 kg
(Inactive) Men's Masters (60-64) 69 kg
(Inactive) Men's Masters (60-64) 77 kg
(Inactive) Men's Masters (60-64) 85 kg
(Inactive) Men's Masters (60-64) 94 kg
(Inactive) Men's Masters (60-64) 105 kg
(Inactive) Men's Masters (60-64) +105 kg
(Inactive) Men's Masters (60-64) 55kg
(Inactive) Men's Masters (60-64) 61kg
(Inactive) Men's Masters (60-64) 67kg
(Inactive) Men's Masters (60-64) 73kg
(Inactive) Men's Masters (60-64) 81kg
(Inactive) Men's Masters (60-64) 89kg
(Inactive) Men's Masters (60-64) 96kg
(Inactive) Men's Masters (60-64) 102kg
(Inactive) Men's Masters (60-64) 109kg
(Inactive) Men's Masters (60-64) +109kg
(Inactive) Men's Masters (65-69) 56 kg
(Inactive) Men's Masters (65-69) 62 kg
(Inactive) Men's Masters (65-69) 69 kg
(Inactive) Men's Masters (65-69) 77 kg
(Inactive) Men's Masters (65-69) 85 kg
(Inactive) Men's Masters (65-69) 94 kg
(Inactive) Men's Masters (65-69) 105 kg
(Inactive) Men's Masters (65-69) +105 kg
(Inactive) Men's Masters (65-69) 55kg
(Inactive) Men's Masters (65-69) 61kg
(Inactive) Men's Masters (65-69) 67kg
(Inactive) Men's Masters (65-69) 73kg
(Inactive) Men's Masters (65-69) 81kg
(Inactive) Men's Masters (65-69) 89kg
(Inactive) Men's Masters (65-69) 96kg
(Inactive) Men's Masters (65-69) 102kg
(Inactive) Men's Masters (65-69) 109kg
(Inactive) Men's Masters (65-69) +109kg
(Inactive) Men's Masters (70-74) 56 kg
(Inactive) Men's Masters (70-74) 62 kg
(Inactive) Men's Masters (70-74) 69 kg
(Inactive) Men's Masters (70-74) 77 kg
(Inactive) Men's Masters (70-74) 85 kg
(Inactive) Men's Masters (70-74) 94 kg
(Inactive) Men's Masters (70-74) 105 kg
(Inactive) Men's Masters (70-74) +105 kg
(Inactive) Men's Masters (70-74) 55kg
(Inactive) Men's Masters (70-74) 61kg
(Inactive) Men's Masters (70-74) 67kg
(Inactive) Men's Masters (70-74) 73kg
(Inactive) Men's Masters (70-74) 81kg
(Inactive) Men's Masters (70-74) 89kg
(Inactive) Men's Masters (70-74) 96kg
(Inactive) Men's Masters (70-74) 102kg
(Inactive) Men's Masters (70-74) 109kg
(Inactive) Men's Masters (70-74) +109kg
(Inactive) Men's Masters (75-79) 56 kg
(Inactive) Men's Masters (75-79) 62 kg
(Inactive) Men's Masters (75-79) 69 kg
(Inactive) Men's Masters (75-79) 77 kg
(Inactive) Men's Masters (75-79) 85 kg
(Inactive) Men's Masters (75-79) 94 kg
(Inactive) Men's Masters (75-79) 105 kg
(Inactive) Men's Masters (75-79) +105 kg
(Inactive) Men's Masters (75-79) 55kg
(Inactive) Men's Masters (75-79) 61kg
(Inactive) Men's Masters (75-79) 67kg
(Inactive) Men's Masters (75-79) 73kg
(Inactive) Men's Masters (75-79) 81kg
(Inactive) Men's Masters (75-79) 89kg
(Inactive) Men's Masters (75-79) 96kg
(Inactive) Men's Masters (75-79) 102kg
(Inactive) Men's Masters (75-79) 109kg
(Inactive) Men's Masters (75-79) +109kg
(Inactive) Men's Masters (80+) 56 kg
(Inactive) Men's Masters (80+) 62 kg
(Inactive) Men's Masters (80+) 69 kg
(Inactive) Men's Masters (80+) 77 kg
(Inactive) Men's Masters (80+) 85 kg
(Inactive) Men's Masters (80+) 94 kg
(Inactive) Men's Masters (80+) 105 kg
(Inactive) Men's Masters (80+) +105 kg
(Inactive) Men's Masters (80+) 55kg
(Inactive) Men's Masters (80+) 61kg
(Inactive) Men's Masters (80+) 67kg
(Inactive) Men's Masters (80+) 73kg
(Inactive) Men's Masters (80+) 81kg
(Inactive) Men's Masters (80+) 89kg
(Inactive) Men's Masters (80+) 96kg
(Inactive) Men's Masters (80+) 102kg
(Inactive) Men's Masters (80+) 109kg
(Inactive) Men's Masters (80+) +109kg
(Inactive) Open Men's 56 kg
(Inactive) Open Men's 62 kg
(Inactive) Open Men's 69 kg
(Inactive) Open Men's 77 kg
(Inactive) Open Men's 85 kg
(Inactive) Open Men's 94 kg
(Inactive) Open Men's 105 kg
(Inactive) Open Men's +105 kg
(Inactive) Open Men's 55kg
(Inactive) Open Men's 61kg
(Inactive) Open Men's 67kg
(Inactive) Open Men's 73kg
(Inactive) Open Men's 81kg
(Inactive) Open Men's 89kg
(Inactive) Open Men's 96kg
(Inactive) Open Men's 102kg
(Inactive) Open Men's 109kg
(Inactive) Open Men's +109kg
